Year,Income_type,Statistic,Value,Group
2021,BHC,Decile 7,60364.50995,All
2021,BHC,Decile 8,71239.5566,All
2021,BHC,Decile 9,88788.69967,All
2007,AHC,Decile 1,8383.40848,All
2007,AHC,Decile 2,13964.01643,All
2007,AHC,Decile 3,17858.03749,All
2007,AHC,Decile 4,21943.38769,All
2007,AHC,Decile 5,26112.01176,All
2007,AHC,Decile 6,30911.05715,All
2007,AHC,Decile 7,37211.37532,All
2007,AHC,Decile 8,46508.2742,All
2007,AHC,Decile 9,59740.29027,All
2008,AHC,Decile 1,8813.291504,All
2008,AHC,Decile 2,13787.02911,All
2008,AHC,Decile 3,17601.10832,All
2008,AHC,Decile 4,21891.72893,All
2008,AHC,Decile 5,26820.8878,All
2008,AHC,Decile 6,31826.58624,All
2008,AHC,Decile 7,37793.10426,All
2008,AHC,Decile 8,45167.74278,All
2008,AHC,Decile 9,58845.34407,All
2009,AHC,Decile 1,9725.571459,All
2009,AHC,Decile 2,15153.36552,All
2009,AHC,Decile 3,19181.63772,All
2009,AHC,Decile 4,23621.16899,All
2009,AHC,Decile 5,28197.01063,All
2009,AHC,Decile 6,33006.60962,All
2009,AHC,Decile 7,38823.26899,All
2009,AHC,Decile 8,47491.99136,All
2009,AHC,Decile 9,60843.12656,All
2010,AHC,Decile 1,9924.591817,All
2010,AHC,Decile 2,15419.88299,All
2010,AHC,Decile 3,19291.94277,All
2010,AHC,Decile 4,23287.87276,All
2010,AHC,Decile 5,28502.34464,All
2010,AHC,Decile 6,33300.39051,All
2010,AHC,Decile 7,39559.57117,All
2010,AHC,Decile 8,48066.4897,All
2010,AHC,Decile 9,61333.8516,All
2011,AHC,Decile 1,8919.78396,All
2011,AHC,Decile 2,14834.12243,All
2011,AHC,Decile 3,18954.70669,All
2011,AHC,Decile 4,22900.99919,All
2011,AHC,Decile 5,27419.20824,All
2011,AHC,Decile 6,32688.46048,All
2011,AHC,Decile 7,39006.56623,All
2011,AHC,Decile 8,46983.8524,All
2011,AHC,Decile 9,60057.10746,All
2012,AHC,Decile 1,8639.701229,All
2012,AHC,Decile 2,14643.53137,All
2012,AHC,Decile 3,18949.37368,All
2012,AHC,Decile 4,22551.20176,All
2012,AHC,Decile 5,27267.9568,All
2012,AHC,Decile 6,33310.74776,All
2012,AHC,Decile 7,39238.74828,All
2012,AHC,Decile 8,48447.01434,All
2012,AHC,Decile 9,63085.08208,All
2013,AHC,Decile 1,9685.641979,All
2013,AHC,Decile 2,15593.50512,All
2013,AHC,Decile 3,20173.73321,All
2013,AHC,Decile 4,24490.98048,All
2013,AHC,Decile 5,29076.7643,All
2013,AHC,Decile 6,34809.90923,All
2013,AHC,Decile 7,41928.47382,All
2013,AHC,Decile 8,50842.49149,All
2013,AHC,Decile 9,65506.95024,All
2014,AHC,Decile 1,9617.369692,All
2014,AHC,Decile 2,15679.25003,All
2014,AHC,Decile 3,19640.82011,All
2014,AHC,Decile 4,23638.10943,All
2014,AHC,Decile 5,29519.92371,All
2014,AHC,Decile 6,34829.37852,All
2014,AHC,Decile 7,42657.58405,All
2014,AHC,Decile 8,51359.2391,All
2014,AHC,Decile 9,68241.59116,All
2015,AHC,Decile 1,9710.302612,All
2015,AHC,Decile 2,15835.54075,All
2015,AHC,Decile 3,20172.73535,All
2015,AHC,Decile 4,24321.34632,All
2015,AHC,Decile 5,29534.17419,All
2015,AHC,Decile 6,35759.07212,All
2015,AHC,Decile 7,42974.78237,All
2015,AHC,Decile 8,52447.05275,All
2015,AHC,Decile 9,69105.83218,All
2016,AHC,Decile 1,9882.544516,All
2016,AHC,Decile 2,16635.59063,All
2016,AHC,Decile 3,21776.86312,All
2016,AHC,Decile 4,26283.22446,All
2016,AHC,Decile 5,30930.86416,All
2016,AHC,Decile 6,35467.34276,All
2016,AHC,Decile 7,43267.21421,All
2016,AHC,Decile 8,52385.67596,All
2016,AHC,Decile 9,68079.38817,All
2017,AHC,Decile 1,10365.05607,All
2017,AHC,Decile 2,16933.76446,All
2017,AHC,Decile 3,21249.58285,All
2017,AHC,Decile 4,25897.92028,All
2017,AHC,Decile 5,31425.86537,All
2017,AHC,Decile 6,37594.76109,All
2017,AHC,Decile 7,44314.01528,All
2017,AHC,Decile 8,52982.11836,All
2017,AHC,Decile 9,69131.6491,All
2018,AHC,Decile 1,10610.99778,All
2018,AHC,Decile 2,16800.12813,All
2018,AHC,Decile 3,21428.08446,All
2018,AHC,Decile 4,27121.05007,All
2018,AHC,Decile 5,32337.30113,All
2018,AHC,Decile 6,37946.19147,All
2018,AHC,Decile 7,44805.30485,All
2018,AHC,Decile 8,53928.26375,All
2018,AHC,Decile 9,71548.78282,All
2019,AHC,Decile 1,11982.64411,All
2019,AHC,Decile 2,19056.89193,All
2019,AHC,Decile 3,23286.69809,All
2019,AHC,Decile 4,28265.55501,All
2019,AHC,Decile 5,33870.96958,All
2019,AHC,Decile 6,40146.3022,All
2019,AHC,Decile 7,47035.18435,All
2019,AHC,Decile 8,56717.55971,All
2019,AHC,Decile 9,73901.28274,All
2020,AHC,Decile 1,12059.86015,All
2020,AHC,Decile 2,18956.76724,All
2020,AHC,Decile 3,23203.40206,All
2020,AHC,Decile 4,28310.96516,All
2020,AHC,Decile 5,33758.46257,All
2020,AHC,Decile 6,39972.5174,All
2020,AHC,Decile 7,47252.33774,All
2020,AHC,Decile 8,57234.3685,All
2020,AHC,Decile 9,73781.33904,All
2021,AHC,Decile 1,13350.76364,All
2021,AHC,Decile 2,20165.63048,All
2021,AHC,Decile 3,24845.80759,All
2021,AHC,Decile 4,30208.76445,All
2021,AHC,Decile 5,35853.6294,All
2021,AHC,Decile 6,41560.8151,All
2021,AHC,Decile 7,48818.08521,All
2021,AHC,Decile 8,58784.19734,All
2021,AHC,Decile 9,77232.43129,All
